x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9
57.679028,154.37433,39.003616,51.47303,0.83539414,50.674774,148.86394,68.86379,149.04881,60.713867,161.18515,50.66136,165.70573,67.6559,166.07208,0.82160085
162.01523,150.69736,37.937622,50.081474,0.87998426,151.23935,146.6745,168.98918,143.99054,160.00674,156.3747,153.97403,162.70274,171.06483,160.01152,0.865386
162.19238,150.73999,38.191006,49.722824,0.87450004,151.19804,146.45807,169.27876,143.95985,160.39955,156.2934,153.95992,162.46286,171.34222,160.01402,0.860067
273.68268,150.69762,45.394585,54.97777,0.89342666,263.7613,141.70201,284.37857,140.33658,275.37653,152.8422,265.99142,160.9403,284.75244,159.69766,0.8786028
273.79465,150.60147,44.73839,54.77822,0.8911698,263.74185,141.50829,284.5703,140.29715,275.4485,152.94945,266.2062,160.8812,284.93707,159.94415,0.8764591
375.55835,152.86914,40.74126,56.127144,0.8694987,367.84317,148.61043,386.04327,146.66345,379.00757,159.19025,369.34805,165.7642,387.15833,164.11435,0.8551269
482.15134,159.18344,42.874096,59.567238,0.8618808,471.93314,155.01044,492.31152,153.99962,482.40567,166.44292,473.16333,173.17302,491.98178,172.38916,0.8476017
584.36554,158.79599,39.270744,51.309307,0.87336266,576.2474,152.7407,593.9823,152.95247,585.3879,165.1271,576.2346,169.04431,592.9968,169.33305,0.8588773
57.705544,154.54501,39.300037,52.34962,0.8479226,50.49588,149.12138,68.90165,149.20543,60.912445,161.36179,50.262608,165.86595,67.6314,166.1075,0.83400935
482.30655,159.12027,43.2122,59.178787,0.85353225,471.89478,154.99089,492.05115,154.00113,482.0903,166.1354,472.90964,172.91542,492.04462,172.18277,0.8395044
584.414,158.91162,39.064457,51.152065,0.8772032,576.1811,152.80118,593.8142,152.7245,585.3095,165.02536,576.269,169.27939,593.0134,169.2526,0.86277086
56.60565,255.5268,39.171257,50.47837,0.8775939,44.972797,251.82362,62.137848,250.96866,52.87299,262.5952,47.39134,267.4549,64.80896,266.38892,0.86304075
380.1045,260.50046,41.43686,54.951283,0.8401786,374.234,253.26378,392.8277,253.59727,385.32498,264.74838,373.73627,272.3922,391.4383,272.70776,0.8262304
590.8637,257.8572,42.684612,52.554737,0.7931873,586.56244,249.23457,604.5672,252.60684,595.9092,262.5296,582.7877,267.729,599.7029,270.75333,0.7800033
56.610374,255.56218,39.007656,50.78347,0.8751862,44.8929,251.98305,62.030884,250.96829,52.66729,262.5807,47.755276,267.5814,64.8062,266.42084,0.8607782
160.73825,260.30927,42.95953,55.78388,0.8725518,149.41354,255.75108,169.01488,254.02017,158.98766,267.01468,151.0721,272.69427,170.03404,270.92722,0.8580903
160.75844,260.2757,42.563553,55.36212,0.8739927,149.3814,255.46326,169.15376,253.86897,159.06534,266.93167,151.12688,272.40213,170.2142,270.8502,0.859581
270.38406,265.23932,43.403786,54.38893,0.88944656,259.2652,257.36447,278.6331,257.0642,268.91016,269.56924,260.62766,275.37674,280.1625,275.0763,0.8747003
270.71893,265.14978,43.394062,54.48124,0.8956545,259.40942,257.2897,278.7647,257.16257,268.6613,269.58496,260.64005,275.24576,280.3244,275.05542,0.88083565
379.9552,260.50485,41.167313,54.798874,0.87636214,374.0954,253.30449,392.6338,253.69609,385.3621,264.89148,373.52158,272.409,391.23483,272.80597,0.861874
379.9899,260.4232,40.863026,54.870186,0.87155616,374.3634,253.46063,393.06537,253.7452,385.53003,265.17215,373.89877,272.30322,391.56488,272.71637,0.8572037
481.1957,266.31674,34.98775,44.892822,0.8746661,473.76782,260.00412,489.7748,259.99005,482.20032,269.52182,473.74277,274.6548,489.64325,274.79156,0.860152
481.18442,266.45288,35.13717,44.919163,0.87093544,473.72864,260.10303,489.68637,260.24683,482.18066,269.48022,473.89484,274.77466,489.5631,275.12012,0.8565373
590.8373,257.9918,42.852444,52.156776,0.8432582,586.7598,249.34444,604.689,252.61351,596.1954,262.5167,582.83105,267.93726,599.8558,270.99448,0.8293122
590.95,258.1438,42.377792,52.01207,0.8027952,586.8284,249.36496,604.6506,252.57729,596.2296,262.68848,583.01044,267.81155,600.1614,270.80695,0.7895924
481.3076,266.43674,34.96028,45.419975,0.73055774,473.61075,259.82788,489.79135,260.23654,482.547,269.56567,473.96686,274.86017,490.0355,275.14386,0.7185978
54.095833,368.5985,40.74632,53.60707,0.8889493,46.86269,362.08298,65.98842,363.4934,56.885727,375.2899,44.335274,379.08295,63.97058,380.7234,0.8741998
160.58252,361.46378,35.417336,50.444546,0.88027084,152.72662,356.63437,168.92688,356.02084,161.33275,365.73914,154.91628,374.17093,168.2264,373.72278,0.8656784
160.53271,361.69055,35.616985,50.184696,0.8724062,152.61938,356.74118,169.00218,356.022,161.32939,365.90817,154.89615,374.22592,168.30707,373.69614,0.8579939
264.60004,360.6495,37.598927,51.20887,0.8719394,255.64304,356.37167,272.68457,354.25528,264.85632,365.44382,257.33365,372.18628,273.9373,370.16858,0.8575264
370.3883,359.8073,36.682266,49.376404,0.87318504,358.71692,356.43958,374.57297,354.69275,365.23608,364.4439,360.95663,371.3754,376.8816,369.50388,0.85869807
370.53073,359.73233,37.082764,49.46732,0.8698645,358.8074,356.51114,374.72952,354.79883,365.48288,364.57416,361.09256,371.21762,376.97504,369.36716,0.85550034
483.11646,367.00342,36.377754,46.94158,0.8815943,474.81247,360.68463,491.31778,363.15228,480.94702,372.40833,472.62863,375.7305,488.7662,378.0834,0.8669686
593.3901,364.1082,38.71666,49.272198,0.86643255,588.2808,357.24908,605.9953,358.41608,598.7452,368.14563,587.4091,374.34546,603.3848,375.5741,0.85204965
593.3976,364.03726,38.77321,49.580612,0.86463785,588.2693,357.10748,605.8673,358.2643,598.88586,367.92807,587.7247,374.15817,603.5686,375.39908,0.8503335
54.13154,368.50922,40.396168,53.40442,0.8807724,46.639675,362.05786,65.845406,363.37668,56.698017,375.2176,44.276115,378.7668,63.86979,380.43942,0.8662739
483.1669,367.105,36.13495,46.885456,0.8787777,474.80344,360.7043,491.3262,362.97873,481.17285,372.47626,472.56436,375.63358,489.0162,377.7149,0.8643391
593.6143,363.82175,38.49159,49.68972,0.79094434,588.37823,357.2843,606.1112,358.5663,598.955,368.5042,587.25397,374.1537,603.63477,375.36758,0.77798766
