Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,Extra
308.68,583.274,15.7688,27.6053,5.36442e-07,303.18,577.565,308.512,577.02,306.27,580.399,305.665,584.904,307.636,584.565,0.982872
316.227,583.175,14.9254,27.0977,5.66244e-07,311.027,576.959,316.299,576.462,313.953,579.546,313.238,584.169,315.321,583.908,0.98286
324.841,583.097,16.41,26.3661,4.76837e-07,318.98,575.679,324.436,574.989,322.033,578.177,321.181,583.452,323.184,583.106,0.982906
333.03,582.959,16.9467,24.7076,6.85453e-07,327.066,575.741,332.42,575.017,330.175,578.224,329.276,583.423,331.204,583.037,0.982877
341.04,582.984,18.3553,22.0671,6.85453e-07,334.656,576.101,340,575.326,337.94,578.567,337.032,583.54,338.958,583.068,0.982834
351.385,582.811,17.203,17.8107,1.78814e-06,344.817,576.706,350.073,575.908,348.138,579.32,347.298,584.007,349.102,583.474,0.982764
357.934,583.173,20.3968,13.5687,1.2517e-06,350.992,577.508,356.145,576.678,354.302,579.961,353.366,584.337,355.282,583.691,0.982746
366.551,583.205,20.0143,12.291,1.90735e-06,359.532,577.852,364.662,576.984,362.838,580.343,361.955,584.6,363.835,583.913,0.982733
373.726,583.151,20.5022,11.2418,1.72853e-06,366.902,578.234,371.938,577.318,370.165,580.655,369.232,584.751,371.171,583.981,0.982722
381.638,583.221,20.4963,11.4247,1.87755e-06,374.754,578.423,379.782,577.479,378.007,580.817,377.113,584.896,379.036,584.102,0.982728
389.188,582.919,19.8548,11.8233,2.02656e-06,382.838,578.698,387.757,577.815,386.043,581.108,385.144,584.927,387.1,584.149,0.982697
397.143,582.945,19.9049,11.8509,1.99676e-06,390.708,578.742,395.661,577.854,393.909,581.125,393.034,584.976,394.995,584.187,0.982702
405.047,582.901,19.5009,12.3674,1.93715e-06,398.752,578.791,403.706,577.91,401.947,581.191,401.091,585.011,403.055,584.227,0.982699
412.872,582.958,18.7805,12.6357,1.90735e-06,406.642,578.866,411.615,577.983,409.817,581.241,408.98,585.077,410.954,584.286,0.982704
420.809,582.746,18.809,13.6333,1.57952e-06,414.827,579.013,419.761,578.186,418.044,581.413,417.208,585.118,419.169,584.367,0.982683
428.791,582.791,18.9362,13.4655,1.49012e-06,422.747,579.073,427.726,578.247,425.983,581.452,425.147,585.195,427.122,584.438,0.982684
436.382,582.693,17.8639,14.0195,1.54972e-06,430.725,579.305,435.667,578.473,433.966,581.643,433.119,585.282,435.119,584.515,0.982669
443.823,582.844,16.0988,13.373,1.72853e-06,438.428,579.443,443.45,578.61,441.653,581.737,440.827,585.451,442.883,584.669,0.982679
452.038,582.571,16.9836,16.2011,1.16229e-06,446.754,579.699,451.73,578.971,450.132,582.037,449.239,585.521,451.297,584.855,0.982652
459.757,582.649,16.6236,16.7789,9.23872e-07,454.44,579.569,459.463,578.864,457.833,581.888,456.9,585.467,458.993,584.817,0.982661
468.242,582.768,18.1128,18.094,8.9407e-07,462.517,579.208,467.652,578.573,465.943,581.734,465.076,585.476,467.15,584.919,0.982701
474.704,583.171,12.2617,20.43,9.23872e-07,470.28,579.13,475.495,578.567,473.511,581.621,472.692,585.363,474.937,584.868,0.982726
484.804,583.306,16.1367,27.0699,4.76837e-07,479.247,577.518,484.644,576.972,482.311,580.392,481.731,584.944,483.702,584.615,0.982879
491.863,583.385,14.0083,26.8893,4.76837e-07,487.053,576.671,492.413,576.334,489.746,579.171,489.076,583.924,491.28,583.852,0.982874
500.818,582.322,14.7139,27.1488,7.15256e-07,496.238,574.547,501.238,574.511,498.385,576.923,498.017,582.263,499.875,582.522,0.982944
508.627,582.472,14.4772,26.3385,8.34465e-07,503.971,574.624,508.816,574.629,506.138,576.9,505.621,582.183,507.435,582.481,0.982933
516.29,583.099,15.5719,25.8428,5.96046e-07,510.744,574.91,516.046,574.315,513.578,577.216,512.636,582.735,514.621,582.543,0.982939
525.354,582.942,17.7714,25.5253,7.45058e-07,519.196,575.637,524.467,574.829,522.375,578.154,521.431,583.447,523.193,583.015,0.982897
532.577,583.305,18.5633,20.9572,6.55651e-07,526.232,577.11,531.407,576.288,529.507,579.634,528.712,584.229,530.548,583.656,0.982818
542.563,583.123,19.0775,17.6953,1.3113e-06,535.962,577.754,541.09,576.866,539.324,580.355,538.592,584.759,540.299,584.106,0.982773
548.649,582.6,17.8447,14.4496,1.40071e-06,543.291,578.964,548.095,578.163,546.492,581.318,545.603,584.924,547.498,584.198,0.982674
