x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9,extra
420.36676,196.13194,19.191465,28.267609,4.7683716e-07,417.2887,192.35706,423.06122,192.94295,421.03906,196.93681,418.1497,201.14583,422.8225,201.66885,0.9843122
429.38788,197.76312,18.464096,24.418486,1.4007092e-06,427.00125,194.65579,431.29468,195.12167,429.67172,198.78098,427.38165,202.15523,431.27454,202.56593,0.9843402
434.37106,199.11377,18.31669,22.089272,3.695488e-06,432.56406,195.67545,438.3471,195.99698,435.532,199.84587,433.1268,203.67064,437.58575,204.00423,0.9842843
447.21365,197.5253,26.233883,27.767145,5.00679e-06,445.55115,194.67932,452.62085,195.1043,449.6778,199.82053,445.63242,204.2345,451.20532,204.6753,0.98440766
453.99536,196.90663,27.284279,29.5312,2.8163195e-05,453.0417,194.51624,459.9815,194.69415,457.64285,200.12563,453.53458,204.07182,459.25537,204.22386,0.98437023
457.60156,196.43317,26.208158,29.670012,3.066659e-05,455.31964,194.23357,463.78168,194.35657,460.66553,200.4454,456.27634,204.29272,462.9303,204.40395,0.9842516
468.00333,197.76624,24.389023,26.621534,2.5331974e-06,463.8489,193.50894,471.43875,194.37648,467.05096,199.55069,464.9475,202.6749,470.78888,203.3426,0.9843048
474.0245,191.92389,19.58506,21.954027,2.115965e-06,470.7532,188.07965,477.7785,189.1592,472.68854,192.95612,471.3785,195.81874,477.2167,196.54303,0.98431885
482.2321,192.44408,25.631872,28.893143,1.0728836e-06,479.09415,188.5986,487.44278,189.60628,482.31677,194.4211,479.55292,198.13762,486.60593,198.86588,0.984323
493.46338,197.59346,27.864471,27.057735,5.364418e-07,490.55847,193.29803,497.47162,194.31726,492.64267,199.54199,489.183,203.12424,495.2618,203.81181,0.9843769
499.67188,199.4713,33.708904,26.702593,5.4240227e-06,495.70807,196.7875,502.56934,198.19672,496.78424,201.6993,493.37067,203.76382,499.38885,204.64941,0.98432994
506.87564,196.6955,34.229794,32.458347,4.172325e-06,501.16962,193.04031,508.79633,194.78339,502.64612,198.35132,499.51718,201.35751,506.45218,202.5959,0.9842662
517.4108,195.66873,31.60363,36.63757,9.804964e-06,511.28345,191.99127,519.69904,193.06189,513.7055,197.18755,511.29953,202.05573,518.2068,202.79117,0.9842967
522.4343,198.36868,23.70139,31.036457,1.5497208e-05,518.72375,193.76105,526.11194,194.51064,521.7964,199.24422,518.38763,204.28723,524.4983,204.88518,0.9842855
529.41187,200.12349,12.644279,24.232641,3.0100346e-06,526.8426,196.4204,531.46313,196.96854,530.0144,201.09274,526.66736,205.29839,530.87524,205.74359,0.98420846
538.6146,198.24702,12.137616,24.519136,1.7881393e-06,537.05695,194.49168,541.6502,194.73466,539.33374,199.18576,537.6558,203.10608,541.7966,203.33302,0.9842863
546.26917,197.5866,17.328386,25.376299,2.0861626e-07,543.07227,193.3701,550.12494,193.71448,547.2409,199.14375,544.3435,203.28697,549.635,203.52457,0.9843099
552.5463,195.19382,14.73591,21.864906,1.4901161e-07,548.8189,192.20688,555.49927,192.72156,551.83234,197.36781,549.74506,200.83748,554.90234,200.99472,0.9842575
563.0947,194.53156,12.375741,20.25794,3.5762787e-07,559.507,191.84033,564.8202,192.45221,562.20844,196.65796,560.53546,199.31076,565.016,199.60046,0.9843106
571.02313,193.79424,13.394582,15.516524,5.066395e-07,567.91785,191.34084,572.8242,191.58249,570.9484,195.30878,569.3315,197.6136,573.52075,197.65611,0.98427755
584.0346,194.01196,10.885435,13.247835,1.3649464e-05,581.0822,192.0279,584.9732,192.1671,583.3256,195.14694,581.8161,197.60379,585.31744,197.73198,0.98436356
584.92017,193.35144,10.142919,11.707668,1.5258789e-05,582.9045,191.54506,586.8697,191.84296,584.9105,193.79886,583.4439,195.9364,586.7019,196.12883,0.98421997
594.11255,193.77864,17.497326,17.332214,6.854534e-07,590.8347,191.28719,595.6532,191.69421,592.9666,194.86232,591.5733,197.87543,596.0145,198.12422,0.98426193
607.3391,196.16011,14.586742,22.31569,9.23872e-07,604.0988,193.51184,609.44885,193.70895,606.2341,197.76036,604.9063,201.0606,609.1218,201.16527,0.9843503
615.0988,199.93419,19.632654,24.400562,4.172325e-07,610.4821,195.85982,618.439,196.24844,613.8418,201.71149,611.59766,205.73424,617.34564,205.8391,0.9843309
619.1147,201.19617,26.237055,23.6209,1.5795231e-06,613.7477,197.27574,622.05817,197.92949,617.70953,202.88138,614.8189,207.14214,620.82245,207.45424,0.98423016
628.1143,200.33316,19.331755,26.811087,5.930662e-06,624.2322,196.64536,630.6601,197.00102,628.2231,202.42015,625.787,206.71552,630.62524,206.90323,0.9842953
637.4204,197.5225,5.365594,29.985033,4.7683716e-05,637.62067,194.71179,640.4752,194.67242,639.2748,199.1646,638.6776,203.33469,641.1532,203.38223,0.9844272
2.7785978,200.28871,6.9815526,22.388258,8.85129e-06,0.2140699,197.4688,2.355203,197.70059,0.89077795,201.759,0.7042749,205.13248,2.633983,205.28629,0.98426926
10.633403,204.03635,13.692485,24.671478,1.66893e-06,7.127206,199.40205,12.6642,200.17903,9.473385,204.6368,7.6350584,208.08157,12.316274,208.73363,0.98426324
20.721962,204.38203,15.8020315,21.729467,3.5762787e-07,18.228561,200.06221,24.008654,200.86896,21.133757,205.32286,18.37396,208.28317,23.47789,208.87024,0.984372
29.030352,204.29208,18.236069,24.469069,4.172325e-07,25.869562,199.75793,32.53137,200.51117,29.467983,205.20483,26.248503,208.48784,32.077843,208.99707,0.9843604
35.819878,203.49828,19.296427,25.198538,3.874302e-07,32.404274,199.11108,39.309166,199.61676,36.8815,204.33244,33.419823,208.30383,39.03637,208.6875,0.98431265
46.562923,203.84673,17.271841,21.618265,4.7683716e-07,43.08803,200.52057,49.18108,200.83308,47.05096,204.51765,43.855495,208.30455,48.988693,208.41135,0.9843528
51.222725,202.78683,17.691181,18.975134,6.2584877e-07,48.558735,199.9562,54.064964,200.40111,52.380943,203.9342,49.320114,207.03938,54.032925,207.32378,0.98430175
58.650444,201.58087,20.736704,18.852844,5.9604645e-07,56.3038,198.50873,61.84757,199.13957,58.84936,202.61479,56.309532,205.46416,61.50301,205.8734,0.98432636
69.03182,201.93436,21.076889,19.794199,2.8014183e-06,66.16938,198.24303,72.0282,198.97382,68.372154,201.80174,65.62106,205.31361,70.9769,205.74759,0.98434913
77.67584,201.76607,24.58104,22.841246,6.8843365e-06,72.80997,196.10927,79.46768,197.4271,74.62115,200.37518,71.96014,204.33878,77.57879,205.25023,0.9843061
86.18239,201.79851,24.826677,26.05568,9.23872e-07,79.94235,196.12262,87.015686,197.63628,82.74641,201.1451,79.72757,205.26016,85.55185,206.33946,0.9843246
91.18016,202.97545,23.559883,25.48655,4.4703484e-07,85.80864,197.63373,93.418274,198.9815,90.14717,203.48312,86.25576,207.20966,92.31324,208.1499,0.9842849
100.743385,207.03404,11.727429,18.13784,2.503395e-06,98.83858,202.94582,103.62819,203.6337,101.682594,207.74214,98.69474,210.55624,102.756195,211.01921,0.98431134
104.56552,206.35197,15.339018,21.03943,5.662441e-07,103.18508,202.67313,108.06502,203.03062,106.32474,207.10246,103.5699,210.43959,108.057976,210.66069,0.9842476
119.87048,206.1691,12.364131,14.74046,1.7285347e-06,117.36957,203.32936,121.40505,203.4995,120.323784,206.83415,117.71641,209.33836,121.80782,209.51175,0.9843515
123.400444,206.0093,12.8721075,16.675404,2.6524067e-06,121.058914,203.04161,124.950516,203.27184,122.7928,206.84624,121.394066,209.1965,124.95684,209.3116,0.98427296
128.32538,203.59044,15.737322,18.782475,1.1920929e-07,124.27911,199.68668,131.21411,200.22682,127.29498,204.90454,125.38069,208.15125,130.64468,208.37582,0.9842588
138.1858,203.05486,13.646731,21.206636,1.4901161e-07,134.32224,199.33467,140.95856,199.86041,137.77405,204.65025,135.49187,207.87498,140.91318,208.14517,0.98430145
145.29716,202.78134,13.087169,19.260942,5.9604645e-08,142.4031,199.12402,147.89604,199.60103,145.4882,203.72997,143.62685,206.76636,148.08202,206.9639,0.9842944
154.47821,201.26788,9.66189,17.579449,1.4901161e-07,152.27501,198.78633,156.9554,199.02164,154.54703,202.97269,153.35945,205.94893,157.37645,205.96825,0.9843011
163.64944,202.88957,13.913272,20.042315,0.0,160.64767,198.9843,166.0681,199.39566,163.19678,203.86081,161.32701,206.80263,166.1494,206.93494,0.984326
169.57727,203.05402,15.218084,21.134357,5.9604645e-08,167.43964,199.41655,173.03664,199.63934,170.09584,204.02695,167.70685,207.51213,172.36671,207.54857,0.98430467
182.44653,203.18216,20.869055,20.496561,2.0861626e-07,178.14537,199.51588,184.56221,199.758,181.09471,203.67435,178.27122,207.1498,183.60898,207.21484,0.98439336
187.75627,204.22495,20.582952,16.631971,8.34465e-07,183.61905,201.00645,190.90886,201.34499,187.47372,204.7602,184.34491,207.78958,190.44379,207.90182,0.9843137
196.35175,205.79971,24.868374,22.771408,1.6093254e-06,191.89015,202.5345,199.29654,203.26749,195.89587,207.58018,192.73222,210.89171,198.06519,211.33429,0.9843397
203.26817,205.5943,16.908785,20.618956,2.682209e-07,199.44186,201.98051,206.67639,202.53935,203.82176,207.5755,200.61934,210.90407,205.72673,211.13681,0.9843148
214.92464,204.95639,12.306043,18.519493,6.2584877e-07,212.12473,201.29225,217.07324,201.87547,214.27884,206.19618,212.31401,209.07596,216.75496,209.42162,0.984339
222.40329,203.63663,17.291723,20.651482,3.0696392e-06,219.22382,199.73332,224.9941,200.30208,221.12471,204.45712,218.6201,207.4964,223.37813,207.80295,0.9843594
224.98004,201.43912,23.327951,21.661516,3.874302e-07,220.08253,197.85388,227.27171,198.7235,222.37578,203.67606,219.9683,206.71136,225.29529,207.07185,0.98426753
236.44522,204.04578,23.810589,24.480589,1.4901161e-07,231.59674,198.69655,237.68092,200.03998,233.55316,204.6212,231.36298,207.80116,235.81148,208.62836,0.98433757
244.20892,204.60284,15.528084,20.681393,2.682209e-07,241.53735,200.47281,246.92671,201.6052,244.40187,205.63588,241.92825,208.4353,246.34952,209.22342,0.9843338
254.12517,202.95486,16.667772,20.995173,4.7683716e-07,251.78517,200.6592,256.40857,201.35962,254.69603,205.77054,252.54688,208.2878,256.14297,208.75822,0.98436415
260.3779,204.3861,17.236088,20.763277,3.2782555e-07,257.98685,201.33609,263.93106,201.5011,261.7654,205.91803,259.23563,209.77579,263.96637,209.83784,0.9843311
270.43658,204.45413,20.854088,22.051628,1.7881393e-07,266.39676,201.3215,272.25797,201.92804,270.339,205.89525,267.72168,209.2955,272.3708,209.7476,0.98436886
275.49,205.06015,17.785492,21.242746,5.662441e-07,272.81635,202.14293,277.30338,203.05142,275.537,206.329,273.20166,209.0683,277.3452,209.73471,0.9842702
282.203,204.7632,21.727417,21.527704,2.682209e-07,278.944,201.77837,284.01425,202.69849,280.84958,206.41669,279.29074,209.053,283.15836,209.68866,0.9842692
292.94315,203.17453,19.44064,18.834703,9.23872e-07,290.50217,201.15703,295.42746,201.99171,292.76324,205.678,290.7532,208.26503,294.7905,208.80353,0.98435235
304.50412,204.19595,19.317055,18.343386,2.95043e-06,301.4202,201.50902,306.31757,202.17929,303.59808,205.30388,301.0881,208.29832,305.07748,208.74196,0.984413
306.3457,203.48405,17.44328,17.034529,2.3841858e-06,303.2741,200.2494,309.31018,201.41698,306.8375,204.33263,303.38403,207.38295,308.26917,208.14491,0.98425996
311.7389,204.05678,16.846836,19.096361,1.6987324e-06,310.49414,200.68922,315.19965,201.64917,313.83752,204.9083,310.6301,207.84074,314.79776,208.49698,0.9842312
326.91437,203.69974,15.686827,21.133677,1.7881393e-06,323.95255,200.45941,329.0626,201.02634,326.84418,204.95847,324.48212,207.66782,328.77103,208.15427,0.98435724
334.5041,203.0714,24.904804,25.913868,2.6226044e-06,329.67978,198.93886,336.60654,199.63696,333.217,203.98183,330.35205,207.08214,335.76868,207.67975,0.9843389
340.51324,202.86984,27.20773,23.424923,8.6426735e-07,337.21338,199.613,343.60245,200.33435,340.60742,205.04639,337.29446,207.69568,341.92825,208.22469,0.9843434
346.16183,203.27087,30.924662,22.165329,9.23872e-07,343.27087,200.79228,350.08743,201.59796,346.96423,205.00359,343.15317,207.87544,348.2678,208.32115,0.98432386
354.9181,203.21457,27.06535,18.615572,1.4603138e-06,351.66934,200.52953,358.67972,201.35721,355.6515,204.15067,351.66147,206.83759,357.12854,207.26958,0.984337
359.74152,202.68208,25.892387,19.043537,2.2351742e-06,356.41013,199.8017,363.4746,200.51611,361.23102,202.87878,357.30502,206.13913,363.14612,206.58354,0.9842526
372.4889,204.51118,22.062923,22.511906,1.4305115e-06,369.5112,200.9622,376.1494,201.61777,373.51868,205.06508,369.80014,208.79906,375.20587,209.2789,0.98432505
380.63165,202.90923,20.437883,24.292793,1.5497208e-06,377.7952,199.36496,383.129,200.77267,379.20123,205.06175,376.43195,207.65405,381.54727,208.64005,0.9843596
387.76315,203.71367,24.903667,27.706783,1.758337e-06,382.53134,199.00958,389.5378,200.94879,383.7954,205.40498,381.8975,208.61508,387.67252,209.96663,0.9843029
397.21243,203.2836,26.2129,23.695692,1.2814999e-06,391.84427,199.59937,398.6123,201.0711,393.9971,204.65723,391.97183,207.41037,397.2326,208.3764,0.98436296
402.56863,204.11987,23.195068,20.025534,1.1026859e-06,398.32202,200.88213,405.19763,202.01047,402.09058,205.72604,399.2503,207.85422,404.38205,208.58109,0.984305
408.4942,205.48235,20.221668,18.567444,9.834766e-07,405.43942,201.89215,411.4057,202.9328,409.56134,206.30334,406.32785,208.76074,410.8256,209.5073,0.9842352
418.85138,203.7075,17.76402,22.354225,8.34465e-07,416.02716,200.13951,421.85358,201.14949,419.53473,205.0341,416.58862,208.14532,421.6819,208.80684,0.9842866
